#epoch	loss	trainacc	valacc
001	2.167	0.216	0.285
002	1.859	0.340	0.373
003	1.628	0.419	0.447
004	1.499	0.467	0.476
005	1.421	0.497	0.504
006	1.356	0.520	0.529
007	1.299	0.543	0.548
008	1.249	0.561	0.562
009	1.207	0.577	0.573
010	1.169	0.592	0.588
011	1.135	0.604	0.595
012	1.107	0.615	0.602
013	1.080	0.624	0.611
014	1.057	0.632	0.618
015	1.038	0.638	0.624
016	1.020	0.645	0.619
017	1.001	0.653	0.634
018	0.985	0.657	0.634
019	0.973	0.663	0.639
020	0.959	0.667	0.640
021	0.946	0.672	0.648
022	0.935	0.675	0.643
023	0.923	0.677	0.652
024	0.915	0.681	0.662
025	0.902	0.687	0.652
026	0.893	0.689	0.660
027	0.885	0.694	0.666
028	0.876	0.697	0.670
029	0.866	0.701	0.665
030	0.859	0.701	0.673
031	0.851	0.705	0.673
032	0.844	0.707	0.665
033	0.838	0.710	0.680
034	0.832	0.713	0.676
035	0.827	0.715	0.671
036	0.819	0.718	0.682
037	0.815	0.718	0.683
038	0.809	0.720	0.677
039	0.804	0.724	0.686
040	0.800	0.723	0.686
041	0.795	0.725	0.685
042	0.789	0.728	0.689
043	0.786	0.729	0.688
044	0.780	0.730	0.688
045	0.776	0.733	0.686
046	0.772	0.733	0.690
047	0.768	0.736	0.689
048	0.764	0.735	0.689
049	0.760	0.737	0.692
050	0.756	0.739	0.690
051	0.752	0.740	0.693
052	0.750	0.743	0.686
053	0.748	0.743	0.690
054	0.742	0.744	0.690
055	0.739	0.746	0.696
056	0.735	0.747	0.693
057	0.733	0.749	0.698
058	0.730	0.748	0.697
059	0.728	0.749	0.699
060	0.724	0.750	0.700
061	0.722	0.752	0.696
062	0.719	0.752	0.702
063	0.715	0.753	0.699
064	0.714	0.755	0.698
065	0.711	0.756	0.700
066	0.709	0.755	0.705
067	0.706	0.757	0.704
068	0.703	0.759	0.704
069	0.700	0.760	0.700
070	0.698	0.760	0.700
071	0.696	0.761	0.702
072	0.694	0.762	0.699
073	0.692	0.762	0.704
074	0.689	0.763	0.704
075	0.688	0.763	0.701
076	0.687	0.763	0.705
077	0.682	0.765	0.707
078	0.681	0.767	0.703
079	0.680	0.766	0.704
080	0.676	0.767	0.703
081	0.675	0.768	0.705
082	0.674	0.767	0.703
083	0.671	0.769	0.703
084	0.669	0.770	0.703
085	0.668	0.772	0.703
086	0.666	0.771	0.699
087	0.664	0.771	0.701
088	0.662	0.773	0.707
089	0.661	0.774	0.707
090	0.658	0.774	0.706
091	0.656	0.774	0.707
092	0.654	0.776	0.708
093	0.653	0.775	0.709
094	0.652	0.777	0.706
095	0.651	0.776	0.706
096	0.648	0.779	0.706
097	0.647	0.778	0.708
098	0.647	0.779	0.708
099	0.644	0.781	0.707
100	0.642	0.779	0.708
