#learnrate	decay	accuracy	epochs
1.00000	1.00000	0.263	110
1.00000	0.16667	0.301	62
1.00000	0.02778	0.268	77
1.00000	0.00463	0.112	0
1.00000	0.00077	0.106	0
0.16667	1.00000	0.251	132
0.16667	0.16667	0.399	57
0.16667	0.02778	0.425	23
0.16667	0.00463	0.402	13
0.16667	0.00077	0.365	21
0.02778	1.00000	0.180	5
0.02778	0.16667	0.337	157
0.02778	0.02778	0.394	32
0.02778	0.00463	0.424	9
0.02778	0.00077	0.397	13
0.00463	1.00000	0.127	13
0.00463	0.16667	0.188	35
0.00463	0.02778	0.259	59
0.00463	0.00463	0.393	116
0.00463	0.00077	0.420	61
0.00077	1.00000	0.101	4
0.00077	0.16667	0.075	21
0.00077	0.02778	0.149	30
0.00077	0.00077	0.374	116
1.00000	1.00000	0.319	89
1.00000	0.16667	0.340	39
1.00000	0.02778	0.204	37
1.00000	0.00463	0.117	0
1.00000	0.00077	0.123	0
0.16667	1.00000	0.396	95
0.16667	0.16667	0.431	43
0.16667	0.02778	0.427	9
0.16667	0.00463	0.414	3
0.16667	0.00077	0.384	10
0.02778	1.00000	0.198	34
0.02778	0.16667	0.307	30
0.02778	0.02778	0.423	11
0.02778	0.00463	0.411	15
0.02778	0.00077	0.434	9
0.00463	1.00000	0.107	19
0.00463	0.16667	0.215	38
0.00463	0.02778	0.319	130
0.00463	0.00463	0.410	84
0.00463	0.00077	0.444	40
0.00077	1.00000	0.094	3
0.00077	0.16667	0.127	41
0.00077	0.02778	0.166	107
0.00077	0.00463	0.270	64
0.00077	0.00077	0.385	90
1.00000	1.00000	0.391	76
1.00000	0.16667	0.380	73
1.00000	0.02778	0.371	63
1.00000	0.00463	0.155	36
1.00000	0.00077	0.125	0
0.16667	1.00000	0.370	123
0.16667	0.16667	0.426	17
0.16667	0.02778	0.464	13
0.16667	0.00463	0.421	7
0.16667	0.00077	0.396	4
0.02778	1.00000	0.230	99
0.02778	0.16667	0.365	97
0.02778	0.02778	0.428	29
0.02778	0.00463	0.461	8
0.02778	0.00077	0.457	2
0.00463	1.00000	0.141	19
0.00463	0.16667	0.203	109
0.00463	0.02778	0.353	107
0.00463	0.00463	0.407	97
0.00463	0.00077	0.452	37
0.00077	1.00000	0.122	23
0.00077	0.16667	0.146	30
0.00077	0.02778	0.207	146
1.00000	1.00000	0.381	117
1.00000	0.16667	0.380	65
1.00000	0.02778	0.297	34
1.00000	0.00463	0.143	0
1.00000	0.00077	0.159	0
0.16667	1.00000	0.396	94
0.16667	0.16667	0.442	15
0.16667	0.02778	0.452	19
0.16667	0.00463	0.440	4
0.16667	0.00077	0.417	5
0.02778	1.00000	0.216	51
0.02778	0.16667	0.375	93
0.02778	0.02778	0.452	39
0.02778	0.00463	0.449	7
0.02778	0.00077	0.442	7
0.00463	1.00000	0.155	65
0.00463	0.16667	0.244	64
0.00463	0.02778	0.379	154
0.00463	0.00463	0.435	57
0.00463	0.00077	0.469	24
0.00077	1.00000	0.105	13
0.00077	0.16667	0.125	77
0.00077	0.02778	0.213	92
0.00077	0.00077	0.441	142
1.00000	1.00000	0.361	70
1.00000	0.16667	0.383	67
1.00000	0.02778	0.347	61
1.00000	0.00463	0.170	0
1.00000	0.00077	0.144	0
0.16667	1.00000	0.398	41
0.16667	0.16667	0.479	23
0.16667	0.02778	0.462	6
0.16667	0.00463	0.435	2
0.16667	0.00077	0.430	34
0.02778	1.00000	0.232	84
0.02778	0.16667	0.381	32
0.02778	0.02778	0.459	52
0.02778	0.00463	0.459	23
0.02778	0.00077	0.450	13
0.00463	1.00000	0.144	54
0.00463	0.16667	0.216	124
0.00463	0.02778	0.351	73
0.00463	0.00463	0.425	108
0.00463	0.00077	0.444	25
0.00077	1.00000	0.141	13
0.00077	0.16667	0.120	54
0.00077	0.02778	0.219	151
0.00077	0.00463	0.326	135
0.00077	0.00077	0.411	117
