Using Theano backend.
Setting up preprocessing ...
 Adding FloatCastTransformation
 Adding SubtractionTransformation [train] (value: 120.38)
 Adding DivisionTransformation [train] (value: 64.40)
Initializing minibatch generators ...
 [train] 4000 samples, 63 minibatches of size 64
 [val]   1000 samples, 10 minibatches of size 100
Initializing softmax classifier and optimizer ...
Training for 200 epochs ...
[Epoch 001] loss: 3.178, training accuracy: 0.259, validation accuracy: 0.297
[Epoch 002] loss: 3.040, training accuracy: 0.330, validation accuracy: 0.242
[Epoch 003] loss: 2.652, training accuracy: 0.367, validation accuracy: 0.281
[Epoch 004] loss: 2.919, training accuracy: 0.367, validation accuracy: 0.272
[Epoch 005] loss: 2.762, training accuracy: 0.391, validation accuracy: 0.293
[Epoch 006] loss: 2.380, training accuracy: 0.427, validation accuracy: 0.256
[Epoch 007] loss: 2.157, training accuracy: 0.449, validation accuracy: 0.272
[Epoch 008] loss: 2.158, training accuracy: 0.454, validation accuracy: 0.253
[Epoch 009] loss: 2.153, training accuracy: 0.463, validation accuracy: 0.304
[Epoch 010] loss: 2.124, training accuracy: 0.468, validation accuracy: 0.292
[Epoch 011] loss: 1.959, training accuracy: 0.492, validation accuracy: 0.251
[Epoch 012] loss: 1.911, training accuracy: 0.511, validation accuracy: 0.292
[Epoch 013] loss: 1.897, training accuracy: 0.506, validation accuracy: 0.309
[Epoch 014] loss: 1.776, training accuracy: 0.515, validation accuracy: 0.278
[Epoch 015] loss: 1.912, training accuracy: 0.511, validation accuracy: 0.243
[Epoch 016] loss: 1.786, training accuracy: 0.525, validation accuracy: 0.279
[Epoch 017] loss: 1.682, training accuracy: 0.537, validation accuracy: 0.289
[Epoch 018] loss: 1.611, training accuracy: 0.547, validation accuracy: 0.266
[Epoch 019] loss: 1.537, training accuracy: 0.563, validation accuracy: 0.277
[Epoch 020] loss: 1.585, training accuracy: 0.564, validation accuracy: 0.271
[Epoch 021] loss: 1.577, training accuracy: 0.565, validation accuracy: 0.277
[Epoch 022] loss: 1.582, training accuracy: 0.566, validation accuracy: 0.300
[Epoch 023] loss: 1.376, training accuracy: 0.598, validation accuracy: 0.263
[Epoch 024] loss: 1.336, training accuracy: 0.605, validation accuracy: 0.283
[Epoch 025] loss: 1.448, training accuracy: 0.596, validation accuracy: 0.270
[Epoch 026] loss: 1.578, training accuracy: 0.581, validation accuracy: 0.262
[Epoch 027] loss: 1.564, training accuracy: 0.576, validation accuracy: 0.271
[Epoch 028] loss: 1.487, training accuracy: 0.588, validation accuracy: 0.268
[Epoch 029] loss: 1.376, training accuracy: 0.615, validation accuracy: 0.289
[Epoch 030] loss: 1.405, training accuracy: 0.612, validation accuracy: 0.284
[Epoch 031] loss: 1.264, training accuracy: 0.628, validation accuracy: 0.280
[Epoch 032] loss: 1.347, training accuracy: 0.612, validation accuracy: 0.285
[Epoch 033] loss: 1.300, training accuracy: 0.625, validation accuracy: 0.275
[Epoch 034] loss: 1.210, training accuracy: 0.643, validation accuracy: 0.264
[Epoch 035] loss: 1.356, training accuracy: 0.612, validation accuracy: 0.251
[Epoch 036] loss: 1.209, training accuracy: 0.647, validation accuracy: 0.260
[Epoch 037] loss: 1.173, training accuracy: 0.653, validation accuracy: 0.271
[Epoch 038] loss: 1.132, training accuracy: 0.657, validation accuracy: 0.265
[Epoch 039] loss: 1.199, training accuracy: 0.639, validation accuracy: 0.263
[Epoch 040] loss: 1.181, training accuracy: 0.662, validation accuracy: 0.287
[Epoch 041] loss: 1.157, training accuracy: 0.662, validation accuracy: 0.269
[Epoch 042] loss: 1.086, training accuracy: 0.681, validation accuracy: 0.284
[Epoch 043] loss: 1.112, training accuracy: 0.666, validation accuracy: 0.276
[Epoch 044] loss: 1.163, training accuracy: 0.656, validation accuracy: 0.246
[Epoch 045] loss: 1.161, training accuracy: 0.667, validation accuracy: 0.272
[Epoch 046] loss: 1.015, training accuracy: 0.692, validation accuracy: 0.262
[Epoch 047] loss: 1.043, training accuracy: 0.689, validation accuracy: 0.287
[Epoch 048] loss: 0.913, training accuracy: 0.713, validation accuracy: 0.276
[Epoch 049] loss: 0.985, training accuracy: 0.701, validation accuracy: 0.268
[Epoch 050] loss: 0.989, training accuracy: 0.696, validation accuracy: 0.264
[Epoch 051] loss: 0.968, training accuracy: 0.709, validation accuracy: 0.275
[Epoch 052] loss: 1.010, training accuracy: 0.688, validation accuracy: 0.304
[Epoch 053] loss: 1.130, training accuracy: 0.675, validation accuracy: 0.273
[Epoch 054] loss: 0.999, training accuracy: 0.699, validation accuracy: 0.257
