#epoch	loss	train_acc	test_acc
001	2.815	0.114	0.134
002	2.475	0.175	0.176
003	2.281	0.216	0.203
004	2.148	0.246	0.227
005	2.050	0.274	0.254
006	1.968	0.299	0.278
007	1.908	0.322	0.292
008	1.855	0.341	0.299
009	1.811	0.354	0.307
010	1.774	0.372	0.320
011	1.743	0.384	0.329
012	1.715	0.396	0.340
013	1.690	0.408	0.348
014	1.670	0.416	0.350
015	1.651	0.427	0.350
016	1.633	0.432	0.354
017	1.619	0.441	0.363
018	1.604	0.447	0.365
019	1.592	0.449	0.366
020	1.577	0.456	0.371
021	1.569	0.456	0.377
022	1.559	0.463	0.377
023	1.548	0.468	0.382
024	1.537	0.473	0.384
025	1.531	0.476	0.387
026	1.524	0.478	0.392
027	1.516	0.483	0.392
028	1.510	0.486	0.395
029	1.505	0.489	0.396
030	1.497	0.493	0.397
031	1.492	0.493	0.398
032	1.488	0.494	0.401
033	1.485	0.498	0.402
034	1.478	0.498	0.399
035	1.475	0.500	0.401
036	1.468	0.501	0.401
037	1.464	0.503	0.400
038	1.458	0.508	0.400
039	1.458	0.507	0.402
040	1.453	0.506	0.403
041	1.449	0.509	0.401
042	1.449	0.510	0.402
043	1.444	0.510	0.402
044	1.443	0.512	0.401
045	1.437	0.512	0.400
046	1.436	0.513	0.404
047	1.435	0.514	0.404
048	1.432	0.516	0.404
049	1.429	0.516	0.404
050	1.429	0.517	0.406
051	1.424	0.518	0.409
052	1.422	0.519	0.406
053	1.418	0.522	0.404
054	1.417	0.523	0.401
055	1.418	0.524	0.402
056	1.417	0.522	0.407
057	1.414	0.522	0.401
058	1.413	0.523	0.405
059	1.409	0.526	0.405
060	1.410	0.526	0.405
061	1.404	0.530	0.409
062	1.402	0.529	0.407
063	1.402	0.529	0.403
064	1.402	0.529	0.403
065	1.401	0.533	0.403
066	1.398	0.531	0.403
067	1.402	0.528	0.406
068	1.398	0.531	0.410
069	1.396	0.532	0.409
070	1.394	0.534	0.406
071	1.393	0.535	0.407
072	1.393	0.532	0.405
073	1.394	0.535	0.407
074	1.389	0.534	0.406
075	1.392	0.533	0.409
076	1.387	0.534	0.406
077	1.387	0.532	0.409
078	1.387	0.534	0.407
079	1.384	0.536	0.409
080	1.384	0.535	0.409
081	1.385	0.534	0.409
082	1.384	0.534	0.409
083	1.382	0.534	0.407
084	1.381	0.536	0.408
085	1.380	0.539	0.407
086	1.377	0.538	0.406
087	1.380	0.535	0.408
088	1.378	0.537	0.406
089	1.379	0.537	0.410
