#epoch	loss	train_acc	test_acc
001	3.119	0.265	0.288
002	3.012	0.331	0.254
003	2.908	0.368	0.253
004	2.616	0.389	0.265
005	2.469	0.398	0.295
006	2.238	0.441	0.249
007	2.331	0.435	0.291
008	2.077	0.460	0.269
009	2.128	0.468	0.274
010	2.475	0.448	0.280
011	2.149	0.477	0.234
012	1.957	0.498	0.276
013	1.827	0.515	0.243
014	1.894	0.517	0.260
015	1.901	0.523	0.278
016	1.800	0.527	0.285
017	1.621	0.552	0.290
018	1.656	0.548	0.261
019	1.600	0.561	0.271
020	1.576	0.566	0.284
021	1.545	0.573	0.284
022	1.490	0.574	0.269
023	1.502	0.575	0.267
024	1.417	0.599	0.258
025	1.483	0.584	0.291
026	1.517	0.591	0.307
027	1.390	0.609	0.290
028	1.310	0.619	0.280
029	1.273	0.637	0.265
030	1.432	0.603	0.286
031	1.397	0.608	0.263
032	1.346	0.624	0.253
033	1.467	0.606	0.276
034	1.521	0.600	0.263
035	1.362	0.616	0.253
036	1.319	0.634	0.262
037	1.390	0.620	0.253
038	1.174	0.650	0.282
039	1.133	0.660	0.277
040	1.090	0.673	0.282
041	1.113	0.668	0.280
042	1.217	0.649	0.277
043	1.148	0.658	0.266
044	1.175	0.656	0.280
045	1.066	0.678	0.283
046	1.133	0.669	0.266
047	1.037	0.691	0.281
048	1.092	0.677	0.281
049	1.086	0.677	0.274
050	1.076	0.688	0.262
051	0.933	0.709	0.264
052	1.052	0.698	0.298
053	1.038	0.696	0.276
054	1.072	0.687	0.283
055	1.098	0.676	0.277
056	0.963	0.710	0.282
057	0.847	0.737	0.266
058	0.934	0.719	0.260
059	1.004	0.699	0.255
060	0.864	0.732	0.287
061	0.770	0.756	0.284
062	0.795	0.751	0.282
063	0.828	0.737	0.277
064	0.825	0.739	0.277
065	0.769	0.760	0.262
066	0.880	0.723	0.267
067	0.824	0.749	0.278
068	0.873	0.736	0.263
069	0.760	0.763	0.266
070	0.703	0.775	0.257
071	0.843	0.739	0.270
072	0.796	0.745	0.274
073	0.745	0.763	0.257
074	0.817	0.745	0.262
075	0.768	0.763	0.276
076	0.793	0.754	0.272
077	0.751	0.753	0.250
078	0.680	0.780	0.260
079	0.809	0.749	0.281
080	0.729	0.774	0.267
081	0.688	0.783	0.259
082	0.727	0.772	0.267
083	0.633	0.789	0.279
084	0.657	0.787	0.259
085	0.648	0.792	0.285
086	0.594	0.811	0.256
087	0.567	0.812	0.244
088	0.665	0.793	0.274
089	0.638	0.799	0.256
090	0.672	0.786	0.257
091	0.585	0.806	0.281
092	0.710	0.783	0.264
093	0.672	0.785	0.257
094	0.691	0.775	0.245
095	0.722	0.773	0.268
096	0.625	0.804	0.266
097	0.671	0.787	0.271
098	0.599	0.821	0.241
099	0.539	0.825	0.267
100	0.531	0.825	0.258
101	0.597	0.804	0.264
102	0.504	0.831	0.261
103	0.484	0.844	0.262
104	0.630	0.799	0.274
105	0.554	0.819	0.271
106	0.512	0.839	0.260
107	0.560	0.826	0.261
108	0.518	0.833	0.286
109	0.590	0.817	0.253
110	0.556	0.818	0.273
111	0.589	0.809	0.272
112	0.510	0.836	0.270
113	0.561	0.819	0.245
114	0.504	0.842	0.266
115	0.573	0.812	0.280
116	0.470	0.853	0.273
117	0.424	0.867	0.248
118	0.474	0.849	0.262
119	0.430	0.864	0.267
120	0.407	0.875	0.261
121	0.446	0.860	0.255
122	0.483	0.848	0.240
123	0.460	0.849	0.276
124	0.430	0.861	0.252
125	0.429	0.867	0.271
126	0.393	0.876	0.263
127	0.407	0.874	0.240
128	0.425	0.859	0.269
129	0.405	0.872	0.244
130	0.365	0.894	0.263
131	0.419	0.870	0.276
132	0.347	0.899	0.252
133	0.341	0.900	0.244
134	0.351	0.901	0.259
135	0.305	0.918	0.266
136	0.321	0.911	0.249
137	0.342	0.895	0.256
138	0.343	0.898	0.268
139	0.339	0.901	0.270
140	0.337	0.901	0.246
141	0.353	0.897	0.258
142	0.386	0.887	0.250
143	0.396	0.875	0.263
144	0.383	0.880	0.263
145	0.361	0.889	0.256
146	0.340	0.902	0.250
147	0.385	0.888	0.265
148	0.423	0.861	0.254
149	0.354	0.892	0.245
150	0.369	0.886	0.258
151	0.385	0.875	0.271
152	0.301	0.911	0.272
153	0.276	0.926	0.256
